title,rating,imdb,url
Land of the Lost - The Complete Third Season,True,False,https://www.amazon.com/dp/B00081U75O

Terminator Salvation,True,False,https://www.amazon.com/dp/B001FB55HQ

Gitchy,False,False,https://www.amazon.com/dp/B003BEE7C4

Speak,True,False,https://www.amazon.com/dp/B000A7Q2I2

The Office: The Complete First Series,True,False,https://www.amazon.com/dp/B000GETWF4

Kamehameha Schools 2008 Song Contest,True,False,https://www.amazon.com/dp/B0017HEY8Y

Alvin and the Chipmunks: The Very First Alvin Show,True,False,https://www.amazon.com/dp/B002FLZKAM

Anatahan,False,False,https://www.amazon.com/dp/B007RQP5W8

Drums Along the Mohawk VHS,True,False,https://www.amazon.com/dp/6301798708

Where the Toys Come From VHS,True,False,https://www.amazon.com/dp/B000068QPR

"Gilgamesh, Vol. 7: All Fall Down",True,False,https://www.amazon.com/dp/B000F8O3PU

Locked Down,True,True,https://www.amazon.com/dp/B0062MI5KM

Buso Renkin 1,True,False,https://www.amazon.com/dp/B0012EM5G0

Your Pace Yoga: Relieving Pelvic Pain,False,False,https://www.amazon.com/dp/B0076Z4BBG

Yellowstone and Grand Teton - Seasons of the National Parks,False,False,https://www.amazon.com/dp/B0013BXW6E

"Ranma 1/2 - Hard Battle, Vol. 11: Soap Gets in Your Eyes VHS",True,False,https://www.amazon.com/dp/1569312486

War Of The Planets,True,False,https://www.amazon.com/dp/B0049IHX36

The Last Hurrah,False,True,https://www.amazon.com/dp/B003QVVJY6

Pinocchio,True,False,https://www.amazon.com/dp/B001ILFUDM

Baby Einstein: Baby Mozart Discovery Kit,True,False,https://www.amazon.com/dp/B003YKDPAA

Simon Sez VHS,True,False,https://www.amazon.com/dp/0767845234

Phenomena,True,False,https://www.amazon.com/dp/B003NEQ74S

Baby Einstein: World Music,True,False,https://www.amazon.com/dp/B001ILFUDW

Working Girls VHS,True,False,https://www.amazon.com/dp/6300133648

Ike and Tina Turner: Rollin with Ike and Tina Turner Live,True,False,https://www.amazon.com/dp/B000GIWU9A

Harold And Kumar Go to White Castle / Harold And Kumar Escape From Guantanamo Bay (Double Feature),True,False,https://www.amazon.com/dp/B0042YY542

Four-Film Collection: (Bangkok Dangerous / Extreme Prejudice / The Fourth Angel / Universal Soldier),True,False,https://www.amazon.com/dp/B0041QSZG0

Santa Fe Trail VHS,True,False,https://www.amazon.com/dp/6301630688

East Side Kids Double Feature: Ghosts on the Loose & Spooks Run Wild,True,False,https://www.amazon.com/dp/B0002VKZYS

The Irish Tenors - Ellis Island,True,False,https://www.amazon.com/dp/B0001GH7VI

High Hopes VHS,True,False,https://www.amazon.com/dp/B000057P5U

Oliver and Company,True,False,https://www.amazon.com/dp/B001ILFUD2

Never So Few,True,False,https://www.amazon.com/dp/B00178U3CY

Stargate 2012 Set,True,False,https://www.amazon.com/dp/B000A3457Q

Jurassic Park: The Collection Jurassic Park / The Lost World,True,False,https://www.amazon.com/dp/B00004U8KV

Fifth Ward VHS,True,False,https://www.amazon.com/dp/6305754276

Leopard - Prince of Predators [VHS],False,False,https://www.amazon.com/dp/B00008FZHL

NCAA Champions Collection: Kansas Vs. Oklahoma 1988,False,False,https://www.amazon.com/dp/B000NOKM9M

Real Estate Film School - PC Edition,False,False,https://www.amazon.com/dp/B004VGH63I

WWE: Night of Champions 2012,True,False,https://www.amazon.com/dp/B008IG09KE

A Stranger Is Watching,True,True,https://www.amazon.com/dp/B000I64V24

The Outer Limits: Nightmare VHS,True,False,https://www.amazon.com/dp/6301971493

Nova: Einstein VHS,False,False,https://www.amazon.com/dp/B00008FZHF

Sinners [VHS],False,False,https://www.amazon.com/dp/5554663931

I Stink !...and more stories on wheels,True,False,https://www.amazon.com/dp/B001PHA6PQ

Legendary Outlaws - Collector's Set,True,False,https://www.amazon.com/dp/B000F9RL9E

Touring Israel,False,False,https://www.amazon.com/dp/B003RLEWOY

FUGA : PELICULA + CD,False,False,https://www.amazon.com/dp/B000Y59D72

Superman - The Ultimate Max Fleischer Cartoon Collection,True,False,https://www.amazon.com/dp/B000F9RL9O

Kasauti,True,False,https://www.amazon.com/dp/B000Y11BGC

I Like You... I Like You Very Much,True,False,https://www.amazon.com/dp/B00005NKBU

Too Tired to Die,True,False,https://www.amazon.com/dp/B00005NKBZ

Rags to Riches VHS,True,False,https://www.amazon.com/dp/6301813855

Triumph of the Nerds Gift Set 3-Pk VHS,True,False,https://www.amazon.com/dp/6304170408

"Verdi - Il Trovatore / Levine, Milnes, Marton, Pavarotti, Metropolitan Opera",True,False,https://www.amazon.com/dp/B000050X30

Evolution,True,False,https://www.amazon.com/dp/B00005NKBE

The Green Hornet VHS,False,False,https://www.amazon.com/dp/B00005NKBK

Army of One VHS,True,False,https://www.amazon.com/dp/6304031831

Indian Paint VHS,True,False,https://www.amazon.com/dp/6303386326

Eyewitness - Fish 1995  VHS,True,False,https://www.amazon.com/dp/6303293670

All Sport Yoga: Yoga Hoops,True,False,https://www.amazon.com/dp/B00199PPOM

Exploring Our Past: Comparing the Lives of Native Peoples,True,False,https://www.amazon.com/dp/B00281DXKS

Stuart Little 3-Call of the Wild                              Nla VHS,True,False,https://www.amazon.com/dp/B000CQQI9O

7 Colombian Kilos,True,False,https://www.amazon.com/dp/B000UV00T0

The Memory of a Killer,True,False,https://www.amazon.com/dp/B000CQQI9E

Dazzle,True,False,https://www.amazon.com/dp/B0007N1JYG

Thing Below VHS,True,False,https://www.amazon.com/dp/B000AE8L2U

Hey Hey We're the Monkees VHS,True,False,https://www.amazon.com/dp/6304653638

Sophisticated Ladies,True,False,https://www.amazon.com/dp/B0007NMJZO

The Stranger VHS,True,False,https://www.amazon.com/dp/6303039405

Jacknife,True,False,https://www.amazon.com/dp/B0000DK4QB

Closer and Closer,True,False,https://www.amazon.com/dp/B0001WTVAM

Hamilton Mattress VHS,False,False,https://www.amazon.com/dp/B00005KB5B

Feast Of Love,True,True,https://www.amazon.com/dp/B0015UYTZG

Bugsy,True,False,https://www.amazon.com/dp/B0000DK4QD

Glitter,True,False,https://www.amazon.com/dp/B0000DK4QE

Minority Report,True,False,https://www.amazon.com/dp/B0000DK4QJ

From Hell,True,False,https://www.amazon.com/dp/B0000DK4QK

Stigmata,True,True,https://www.amazon.com/dp/B008Q00I2Q

Daredevil,True,False,https://www.amazon.com/dp/B0000DK4QL

Vlastimil Harapes: Primo Ballerino,True,False,https://www.amazon.com/dp/B001OMT62Q

Kennedy Years:JFK Remembered By Lowe VHS,True,False,https://www.amazon.com/dp/6303031498

Massage Practice: Acupressure VHS,True,False,https://www.amazon.com/dp/B00004T6FQ

Alien Species VHS,True,False,https://www.amazon.com/dp/6305146187

Gone with the Wind (1939),True,True,https://www.amazon.com/dp/B002W7IH0Y

Elvira: Maneater of Hydra,True,True,https://www.amazon.com/dp/B002LEJQNA

Two Rooms -  Celebrating the Songs of Elton John & Bernie Taupin VHS,True,False,https://www.amazon.com/dp/6302179661

Before Sunrise,True,True,https://www.amazon.com/dp/B001NA60A0

Fireplace DVD: Real Wood Burning Fire,True,False,https://www.amazon.com/dp/B001KNAI2Q

Leather Skills: Introduction to Leather Working,False,False,https://www.amazon.com/dp/B000NPFF52

"Classic Comedy Triple Feature, Vol. 2 - St. Benny the Dip / Behave Yourself / Topper Returns",True,False,https://www.amazon.com/dp/B00019G4GO

Righteous Kill / Traitor,True,False,https://www.amazon.com/dp/B002PM8PZS

Spunky Double Feature,False,False,https://www.amazon.com/dp/B0030N1Z8K

Pick a Card VHS,True,False,https://www.amazon.com/dp/B00001IVE7

Is It Easy to Be Young? VHS,True,False,https://www.amazon.com/dp/630188437X

For Catherine,True,False,https://www.amazon.com/dp/B000OYCNXY

Body Bar Ready-Set-Superset Dvd,False,False,https://www.amazon.com/dp/B000LQ80B4

The Immigrant,False,False,https://www.amazon.com/dp/B000BUBETU

Mr. Mike's Mondo Video VHS,True,False,https://www.amazon.com/dp/B0001A9JEW

NOVA: Battle of the X-Planes,True,False,https://www.amazon.com/dp/B00008YLV1

The Inspector Lynley Mysteries - Well-Schooled in Murder / Payment in Blood / For the Sake of Elena / Missing Joseph VHS,True,False,https://www.amazon.com/dp/B00008YLV0

Ps VHS,True,False,https://www.amazon.com/dp/B0006U5UPO

Bitter Moon,True,False,https://www.amazon.com/dp/B00008YLV7

Detonator,True,False,https://www.amazon.com/dp/B00008YLV6

Todd McFarlane's Spawn Animated Series  VHS,True,False,https://www.amazon.com/dp/6304520735

Eat a Bowl of Tea,True,False,https://www.amazon.com/dp/B00008YLVC

S.W.A.T. - The Complete First Season,True,False,https://www.amazon.com/dp/B00008YLVB

Monticello:Home of Thomas Jefferson VHS,True,False,https://www.amazon.com/dp/6304288115

The Out-Of-Towners (1999),True,True,https://www.amazon.com/dp/B00819ZCP0

Galaxy Invader,False,True,https://www.amazon.com/dp/B0010XOKM0

Choices Of The Heart - The Margaret Sanger Story,True,False,https://www.amazon.com/dp/B000QUCNRC

Watership Down VHS,True,False,https://www.amazon.com/dp/B00005UF9O

Kenny Rogers Christmas Special Country Christmas,True,False,https://www.amazon.com/dp/B002SRWNPI

Balance in Movement: The Seat of the Rider,True,False,https://www.amazon.com/dp/1570762589

Titanic: End of an Era,True,False,https://www.amazon.com/dp/6305101132

Five Minutes of Heaven,True,True,https://www.amazon.com/dp/B006OIW2NA

7 Mummies,True,True,https://www.amazon.com/dp/B001HXDQAU

Chocolat,True,False,https://www.amazon.com/dp/B004SIP6BI

O VHS,True,False,https://www.amazon.com/dp/B00005UF9K

B.B. King: Live,True,False,https://www.amazon.com/dp/B004USUOX6

Udaan (English Subtitles),False,True,https://www.amazon.com/dp/B005C2TKLQ

The Fish Child,True,True,https://www.amazon.com/dp/B005EP7HX4

The Dude Bandit,False,False,https://www.amazon.com/dp/B001AD6UJ6

Two Friends,False,False,https://www.amazon.com/dp/B008474ZX4

"Baby's First Impressions, Vol. 2 - Colors VHS",True,False,https://www.amazon.com/dp/6304288875

The Commitments,True,False,https://www.amazon.com/dp/B00018D3XW

Keyhole,True,True,https://www.amazon.com/dp/B008CPAX16

Cowboy Bebop - Session 2,True,False,https://www.amazon.com/dp/B00004RFI7

"The Monkees, Vol. 15: The Chaperone/The Case of the Missing Monkee VHS",True,False,https://www.amazon.com/dp/B00004RFI6

Witchcraft XI: Sisters in Blood VHS,True,False,https://www.amazon.com/dp/B00004RFI5

Pok��mon 3: The Movie VHS,True,False,https://www.amazon.com/dp/B00005LKLF

Bad Man's River,False,False,https://www.amazon.com/dp/B0060ZNFVK

Stacey Nemour's Extreme Flexibility for Pro-Athletes & Teams,False,False,https://www.amazon.com/dp/B002JVX0JG

Drenched in Blood 4 Movie Pack: (Fungicide / Goregoyles / Devil's Moon / Tales Of Terror),True,False,https://www.amazon.com/dp/B0008ENIM0

Ned Kelly: The True Story Of Australia's Most Legendary Outlaw,True,False,https://www.amazon.com/dp/B00018YC3W

Global Warming: Science and Solutions,True,False,https://www.amazon.com/dp/B000KCHZ6A

Redemption,True,False,https://www.amazon.com/dp/B0001WJN8M

The Simpsons Political Party VHS,True,False,https://www.amazon.com/dp/6305809208

Witchcraft 11:Sisters in Blood VHS,True,False,https://www.amazon.com/dp/B00004RFIG

The Brain That Wouldn't Die: (Mystery Science Theater 3000),True,False,https://www.amazon.com/dp/B00004RFIF

Saving Grace VHS,True,False,https://www.amazon.com/dp/B00005LKL6

Inheritance,True,True,https://www.amazon.com/dp/B003LSZFUI

The Man From Nowhere (English Subtitled),True,True,https://www.amazon.com/dp/B004R10MA6

Bubby Fann and Unlimited Praise: Judah Prayze,True,False,https://www.amazon.com/dp/B000067J2G

35th Anniversary Concert,True,False,https://www.amazon.com/dp/B000H0MN5S

Passion,True,False,https://www.amazon.com/dp/B000067J2I

Dear Santa,True,True,https://www.amazon.com/dp/B006A0R638

Octopus 2: River of Fear,True,False,https://www.amazon.com/dp/B000067J2Z

Felix Cane Pole Dance Mastery : Advanced,True,False,https://www.amazon.com/dp/B006QFIK8M

